Overview Build Results
============================================================

=== Arcanist ===
  [Lunar Cascade]  102,651,930 – 369,782,359  DPS: 157,478,096
  [Rock Crash]  54,266,929 – 196,664,045  DPS: 139,408,884
  [Iceshark]  107,048,330 – 386,237,844  DPS: 139,123,143
  [Firebird]  67,344,750 – 242,759,417  DPS: 131,194,736
  [Water Well]  77,634,573 – 281,262,452  DPS: 125,326,841
  [Stone Spike]  46,596,333 – 168,768,074  DPS: 119,649,285
  [Ice Missile]  66,372,555 – 240,060,615  DPS: 107,006,462
  [Lightning Strike]  74,835,993 – 270,073,415  DPS: 99,828,279
  [Wind Cutter]  38,053,024 – 137,641,904  DPS: 97,610,245
  [Earthquake]  73,060,271 – 264,013,050  DPS: 97,560,254
  [Astral Moon]  58,931,217 – 212,393,166  DPS: 94,746,474
  [Poison Cloud]  70,719,364 – 254,978,464  DPS: 91,857,644
  [Stone Spear]  66,618,680 – 240,491,085  DPS: 88,887,802
  [Lightning Shock]  54,394,221 – 196,664,045  DPS: 87,669,546
  [Lighting Ram]  54,266,929 – 196,664,045  DPS: 87,625,096
  [Swordwind]  32,808,801 – 118,762,687  DPS: 84,208,066
  [Strongwind]  32,808,801 – 118,762,687  DPS: 84,208,066
  [Electric Shock]  59,704,832 – 215,468,342  DPS: 79,644,288
  [Fire Strike]  48,832,595 – 176,990,001  DPS: 78,857,250
  [Static Ball]  46,902,470 – 169,693,737  DPS: 75,635,395
  [Void]  52,362,263 – 188,795,897  DPS: 69,799,210
  [Flame Ball]  42,204,581 – 152,716,724  DPS: 68,066,519
  [EVA Storm]  39,906,581 – 143,903,578  DPS: 64,186,507
  [Windfield]  41,770,451 – 150,897,931  DPS: 55,764,652
  [Burningfield]  24,160,986 – 87,477,271  DPS: 47,230,425
  [Flame Geyser]  20,210,868 – 73,951,795  DPS: 32,881,601
  [Mental Strike]  18,224,234 – 66,240,042  DPS: 29,494,925
  [Waterball]  8,371,311 – 30,765,943  DPS: 13,666,729
